hour,day_of_week,day,temperature,rain,fog,activity_index,visibility,lighting_level,safety_risk
0,0,0,6.514254068177176,0,0,0.6324494642186541,0,1.0,1.1019033883475915
1,0,0,7.012214371624238,0,0,0.505624276508286,0,1.0,1.0162963866430932
2,0,0,6.690940909309806,0,0,0.45373282348847055,0,1.0,0.9812696558547175
3,0,0,7.554580994822509,0,0,0.5045916257465981,0,1.0,1.0155993473789537
4,0,0,10.805954128416664,0,0,0.4904228295521687,0,1.0,1.006035409947714
5,0,0,12.796754063978165,0,0,0.6448622988775617,0,1.0,1.0280389367984761
6,0,0,12.921418184442132,0,0,0.32682203013235905,1,1.0,0.6417637688327243
7,0,0,15.549875474529614,0,0,0.8008536209905418,1,1.0,0.8254694915447981
8,0,0,12.301185748275202,1,0,0.4134396456821763,0,1.0,0.706719822841088
9,0,0,11.882832707200558,1,0,0.3958974012124133,1,1.0,0.5479487006062067
10,0,0,14.039187312821984,1,0,0.479456228311212,1,1.0,0.589728114155606
11,0,0,20.327019830222845,0,0,1.0,2,1.0,0.7
12,0,0,18.957602266912513,0,0,0.8009157120820826,2,1.0,0.6004578560410413
13,0,0,20.353626919570882,0,0,0.9046977026326919,2,1.0,0.652348851316346
14,0,0,15.569835624639353,0,0,0.9470336854745063,2,1.0,0.6735168427372531
15,0,0,18.057971497516974,0,0,0.7086581434804062,2,1.0,0.5543290717402032
16,0,0,16.080475374260637,0,0,0.5354035716107965,2,1.0,0.4677017858053983
17,0,0,14.247335226171725,0,0,0.8548401928358264,2,1.0,0.6274200964179132
18,0,0,13.085189082557967,0,0,0.3042375834543031,1,1.0,0.5021187917271515
19,0,0,9.452945120806449,0,0,0.28900719152087795,1,1.0,0.5439539553364829
20,0,0,9.773756418184956,0,0,0.7034493974208107,1,1.0,0.8069834035169661
21,0,0,9.107900190414929,0,0,0.23606390943319366,1,1.0,0.4680319547165968
22,0,0,9.275169928057352,0,0,0.3719978579994788,1,1.0,0.6699986612496742
23,0,0,6.679603130014408,0,0,0.4954269896166374,0,1.0,0.9346418685103983
0,1,1,4.914977794764443,0,0,0.3300488304644979,0,1.0,0.897782960563536
1,1,1,5.426159396338684,0,0,0.4283738683116516,0,1.0,0.9641523611103648
